Input	Output
Getting started	Getting started
Language syntax	Language syntax
Sintaxis del lenguaje	Language syntax
Comenzar a usarlo	Getting started
Los materiales de R no están en mi idioma nativo	R Materials aren't in my native language
Aprender a usar la interfaz de línea de comandos de R	Learning to use the R command line user interface
Aprendizaje del entorno de desarrollo RStudio	Learning the RStudio development environment
Downloading and installing the software	Downloading and installing the software
Error messages	Error messages
Finding proper packages to use	Finding proper packages to use
Learning to use the R command line user interface	Learning to use the R command line user interface
Mensajes de error	Error messages
Tipos de datos	Data types
Al of my professors use SPSS	All of my professors use SPSS
Descarga e instalación del software	Downloading and installing the software
Documentation	Documentation
Encontrar paquetes apropiados para usar	Finding proper packages to use
Finding the time	Finding the time
Language irregularities	Language irregularities
Learning the RStudio development environment	Learning the RStudio development environment
R Materials aren't in my native language	R Materials aren't in my native language
Time	Finding the time
Understanding the advantages of R over alternatives	Understanding the advantages of R over alternatives
use or lose it: I learn some things but without daily practice they become forgotten; don't use it enough to retain expertise	Don't use it enough to retain expertise
